time,tweets,likes,retweet_count,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-06-08 14:23:44,Πόσο φιλεργατικό είναι να στερούμε τη δυνατότητα από τις μητέρες που το θέλουν να δουλεύουν λίγο παραπάνω ΔευτέραΠέμπτη και να κάθονται την Παρασκευή και να πληρώνονται για να βλέπουν τα παιδιά τους Να τον χαίρονται τον φιλεργατισμό τους στον ΣΥΡΙΖΑ Βουλή ,670,149,0,1,0,0,0,0,2,0,0,0
2021-06-08 14:12:46,Παγκόσμιο ρεκόρ υποκρισίας από τον ΣΥΡΙΖΑ στο εργασιακό Η πολιτική τους ζάλη η εμπάθειά τους κι η άρνηση των πάντων τούς έχουν οδηγήσει στο σημείο να λέμε άσπρο και να λένε μαύρο Να λέμε μαύρο και να λένε άσπρο Είναι μια πλήρως αναξιόπιστη αντιπολίτευση Βουλή ,122,27,2,3,2,0,0,4,3,2,5,0
2021-06-07 16:23:56,Η ψηφιακή κάρτα εργασίας είναι μία επανάσταση στην αγορά εργασίας Είναι εγγύηση για την τήρηση του ωραρίου του εργαζομένου Για την τήρηση του 8ώρου Για τις υπερωρίες Για τη διευθέτηση Ένας σύγχρονος ηλεκτρονικός μηχανισμός πρωτοποριακός και για τα ευρωπαϊκά ακόμα δεδομένα ,109,23,1,3,0,1,1,1,1,1,3,1
2021-06-07 13:16:46,Η ψηφιακή κάρτα εργασίας είναι βασικό εργαλείο για την τήρηση του 8ωρου των υπερωριών κ της διευθέτησης του χρόνου Μαζί με τον υπουργό Ψηφιακής Διακυβέρνησης  θα το προχωρήσουμε σε 3 στάδιαΜέσα στο 2022 θα είναι πραγματικότητα Είναι επανάσταση στην αγορά εργασίας ,114,14,1,2,0,1,1,1,1,1,3,1
2021-06-04 11:26:33,Το να παίρνουν τηλέφωνο στον ΕΦΚΑ ασφαλισμένοι και συνταξιούχοι και να μην τους το σηκώνουν είναι απαράδεκτη δεσποτική συμπεριφορά Και δεν μπορεί να γίνει ανεκτό Πρέπει να καταλάβει κάθε υπάλληλος ότι είμαστε υπηρέτες των πολιτών κι όχι εξουσιαστές ,757,113,1,1,0,1,0,0,0,0,2,0
2021-06-04 11:25:04,Η ψηφιακή κάρτα εργασίας αποτελεί ουσιαστική εγγύηση για την τήρηση του 8ωρου και την πληρωμή των υπερωριών Παράλληλα αναβαθμίζουμε την Επιθέωρησης Εργασίας σε Ανεξάρτητη Αρχή Ο ΣΥΡΙΖΑ ας συνεχίσει την κωμικοτραγική αντιπολίτευση με fake news ,54,4,1,2,1,0,0,2,1,0,4,0
2021-06-02 09:09:03, Η απλοποίηση των υπηρεσιών αναβαθμίζει το κράτος Καταργώντας 68 διοικητικές διαδικασίες του eΕΦΚΑ από τα ΚΕΠ διευκολύνου,0,125,0,0,0,0,0,0,0,0,0,0
2021-05-31 17:15:52, Με αφορμή το νομοσχέδιο προστασίας της εργασίας διοργανώσαμε μια συζήτηση με νέους που δραστηριοποιούνται σε διάφορους επαγγελμ,0,32,1,1,0,0,0,0,0,0,1,0
2021-05-21 13:47:25, OECD report on the Env Nexus showsEnv degradation impacts men  women differently Few countries use genderd,0,12,0,0,0,0,0,0,0,0,0,0
2021-05-21 11:02:24,   env sustainability must be at the core of  recovery efforts In  to ensure all benefit e,0,5,0,0,0,0,0,0,0,0,0,0
2021-05-20 13:00:13, Πρόοδος για το ΣΥΡΙΖΑ ήταν η τραγική εικόνα που όλοι θυμόμαστε από τα αεροδρόμια της χώρας Γι αυτό δεν ήθελε τη σύμβασ,0,31,0,1,1,0,0,0,1,0,0,0
2021-05-19 18:01:26,Πρόοδος για το ΣΥΡΙΖΑ ήταν η τραγική εικόνα που όλοι θυμόμαστε από τα αεροδρόμια της χώρας Γι αυτό δεν ήθελε τη σύμβαση παραχώρησης που προωθήσαμε Τώρα που έχουμε 14 ευρωπαϊκά αεροδρόμια και μια νέα εικόνα για τον τουρισμό τι λένε Βλέπουν πάλι νεοφιλελεύθερους οδοστρωτήρες ,224,31,0,2,1,0,0,2,1,0,1,0
2021-05-16 08:30:16,Τι θα κάνει άραγε ο ΣΥΡΙΖΑ που μιλά για οδοστρωτήρες στη Βουλή Θα καταψηφίσει τις γονικές άδειες Τα μέτρα για τη βία και την παρενόχληση στην εργασία Την ενίσχυση της προστασίας των εργαζομένων σε delivery Τα 45 του νσχ είναι τέτοιου είδους μέτρα ,283,51,2,2,1,1,1,2,1,2,2,2
2021-05-16 08:26:35,Κάποιοι είπαν ότι δήθεν εξαιρέσαμε το Δημόσιο από την ψηφιακή κάρτα από φόβο για τις συντεχνίες Το σχέδιο νόμου καλύπτει τους εργαζόμενους στον ιδιωτικό τομέα αλλά και τις ΔΕΚΟΔΕΗ μετρό Κανένας φόβος λοιπόν Στρατός αστυνομία εκπαίδευση κτλ καλύπτονται από άλλο πλαίσιο ,98,22,1,2,0,0,1,1,3,1,2,3
2021-05-15 12:30:35,  Δίνουμε δύναμη στους εργαζόμενους με το νσ για την προστασία της εργασίας http,0,2,1,1,0,0,0,1,0,0,2,1
2021-05-15 12:29:59,Ο ΣΥΡΙΖΑ που μας κουνά το δάκτυλο για τη διευθέτηση του χρόνου εργασίας είχε υπογράψει την Ευρωπαϊκή Οδηγία 20191158 Που προωθεί ευέλικτες μορφές απασχόλησης με ΑΤΟΜΙΚΕΣ συμβάσεις εργασίας Και αυτό θα ισχύσει και στις 27 χώρες της ΕΕ ,311,63,0,1,0,0,0,1,0,0,2,0
2021-05-15 12:27:19,Άλλο επιχειρηματικότητα και άλλο λαμογιά Η λαμογιά με πονηριές ζημιώνει το κράτος τους εργαζόμενους και νοθεύει τον ανταγωνισμό Για αυτό και ενισχύουμε τους ελέγχους με την ψηφιακή κάρτα εργασίας Και με την αναβάθμιση του ΣΕΠΕ σε Ανεξάρτητη Αρχή όπως η ΑΑΔΕ ,293,36,0,0,0,0,0,0,0,0,1,0
2021-05-13 13:36:47,Ορίστε και οι εργασιακές γαλέρες που ενοχλούν τον ΣΥΡΙΖΑ Προστασία του εργαζομένου στην τηλεργασία Προστασία από άκυρες απολύσεις Διαφάνεια στον συνδικαλισμό δυναμη_στον_εργαζομενο ,213,41,0,0,0,0,0,0,0,0,0,0
2021-05-13 13:36:10,Αυτοί είναι οι οδοστρωτήρες του εργασιακού νομοσχεδίου για τους οποίους μιλάει ο κ Τσίπρας Δείτε παρακάτω Γονικές άδειες Ψηφιακή κάρτα εργασίας εγγύηση για το ωράριο του εργαζομένου Νέες ευκαιρίες στον εργαζόμενο δύναμη_στον_εργαζόμενο ,92,20,0,1,0,0,0,1,0,0,1,0
2021-05-12 14:35:46,Νομοσχέδιοτομή για την Προστασία της Εργασίας Δίνουμε δύναμη_στον_εργαζόμενο με συγκεκριμένες νέες ευκαιρίες δυνατότητες κι επιλογές Με προτεραιότητα μια δημιουργική και παραγωγική Ελλάδα Με ανάπτυξη και κοινωνική συνοχή Με πρότυπο τις προηγμένες ευρωπαϊκές χώρες ,184,40,0,2,0,0,0,1,0,0,1,0
