Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-05-27 21:06:00,κουτσούμπας απεργιακή απάντηση στο αντεργατικό έκτρωμα,απόψε από το σύνταγμα με αυτή τη μεγάλη συγκέντρωση αλλά και με τις συγκεντρώσεις του κόμματος σε όλη την ελλάδα δίνουμε απάντηση στο πολεμικό ανακοινωθέν,2021,May,27,0,0,0,0,0,0,0,0,0,1
2021-05-27 17:05:00,τσίπρας συνειδητή επιλογή της κυβέρνησης η υποβάθμιση της επιθεώρησης εργασίας,την έντονη ανησυχία του για τις προθέσεις της κυβέρνησης για το νέο εργασιακό νομοσχέδιο και την υποβάθμιση του έργου του σώματος επιθεώρησης εργασίας επί,2021,May,27,1,0,0,0,0,0,1,1,3,1
2021-05-26 20:04:00,γεννηματά για εργασιακό νομοσχέδιο συστηματικά υπονομεύει ή αφαιρεί εργασιακά δικαιώματα,διαδικτυακή εκδήλωσησυζήτηση με τίτλο η εργασία είναι σε μετάβαση  αξιοπρέπεια ή ισοπέδωση διοργάνωσε το κίνημα αλλαγής με αφορμή το νέο εργατικό,2021,May,26,0,3,1,0,1,2,1,0,0,0
2021-05-26 19:46:00,τσίπρας η κυβέρνηση του κ μητσοτάκη έχει πολλά γραμμάτια να ξεπληρώσει,σκληρή και εφ όλης της ύλης επίθεση στον πρωθυπουργό εξαπέλυσε ο πρόεδρος του συριζαπς αλέξης τσίπρας υποστηρίζοντας ότι η κυβέρνηση του κ μητσοτάκη έχει,2021,May,26,1,3,0,2,1,3,1,1,2,2
2021-05-18 09:54:00,χατζηδάκης σε σκαϊ για εργασιακό βάση το 8ωρο  η προστασία από κακούς εργοδότες,το νομοσχέδιο για τα εργασιακά δεν είναι γραμμένο σε πέτρα αλλά οι βασικές του αρχές δεν θα αλλάξουν τόνισε ο υπουργός εργασίας κωστής χατζηδάκης μιλώντας,2021,May,18,1,0,0,0,0,0,0,0,2,0
2021-05-16 21:45:00,δωρεάν διακοπές έως 10 νύχτες για 600000 έλληνες ακόμα και σε πεντάστερα οι δικαιούχοι,συνολικά 600000 έλληνες θα πάνεδωρεάν φέτος διακοπές με το πρόγραμμα του οαεδ που δεν ειναιμόνος για ανέργους αλλα και για εργαζόμενους όπως αποκάλυψε ο,2021,May,16,0,1,1,0,0,0,1,0,0,0
2021-05-16 15:54:00,οι πληρωμές από υπουργείο εργασίας eεφκα και οαεδ την εβδομάδα 1721 μαΐου,την πληρωμή των αποζημιώσεων για την αποζημίωση δώρου πάσχα απριλίου για αναστολές συμβάσεων εργασίας και μία ακόμη καταβολή αναδρομικών σε κληρονόμους,2021,May,16,0,2,1,0,0,2,1,0,2,0
2021-05-16 09:22:00,χατζηδάκηςσκαϊ 300000 πολίτες θα πάνε δωρεάν διακοπές τι είπε για ψηφιακή κάρτα και εργασιακό νομοσχέδιο,συνολικά 300000 πολίτες θα πάνε δωρεάν διακοπές τόνισε στον σκαϊ ο υπουργός εργασίας κωστής χατζηδάκης αναφερόμενος στο φετινό πρόγραμμα κοινωνικού,2021,May,16,0,1,1,0,0,0,1,0,1,0
2021-05-15 15:39:00,covid19 και οικογένεια,του φώτη κάρυδαη οικογένεια αποτελεί το κύτταρο του πολιτισμού είχε πει ο αμερικανός ιστορικός και φιλόσοφος γουίλντιράν 18851981 χρειάστηκε όμως,2021,May,15,0,1,0,0,0,1,0,0,0,0
2021-05-15 12:54:00,χατζηδάκης δίνουμε δύναμη στους εργαζόμενους με το νομοσχέδιο για την προστασία της εργασίας,το σχέδιο νόμου για την προστασία της εργασίας παρουσίασε στην πολιτική επιτροπή της νδ και σε συνδικαλιστικά στελέχη ο αντιπρόεδρος του κόμματος και υπουργός,2021,May,15,1,0,0,0,0,2,1,0,2,0
2021-05-14 11:53:00,υπ εργασίας αναγκαίος ο διάλογος επί πραγματικών στοιχείων και όχι με fake news,είναι ψευδές ότι στο πλαίσιο της διευθέτησης του χρόνου εργασίας οι εργαζόμενοι θα εργάζονται επί 13 ώρες την ημέρα διευκρινίζει το υπουργείο εργασίας και,2021,May,14,0,1,1,0,0,1,0,0,2,0
2021-05-13 13:56:00,στρατινάκη σκαϊ 1003 από το 2022 η ουσιαστική λειτουργία κάρτας εργασίας στο ιδιωτικό τομέα,από το νέο έτος θα λειτουργήσει ουσιαστικά η ψηφιακή κάρτα εργασίας που θεσπίζει το νέο εργασιακό νομοσχέδιο ενώ η πρώτη φάση της λειτουργίας της θα έχει,2021,May,13,0,0,0,1,0,0,0,0,1,0
2021-05-13 09:52:00,γεραπετρίτης σε σκαϊ πρώτη σε εμβολιασμούς η ελλάδα στους g20 πίνακες,η ελλάδα σε αναλογία πληθυσμού βρίσκεται στην πρώτη θέση μεταξύ των χωρών της g20 με 091 εμβολιασμούς ανά 100 άτομα τόνισε ο υπουργός επικρατείας γιώργος,2021,May,13,0,0,0,0,0,0,0,1,1,0
2021-05-12 14:36:00,γεννηματά καταργείται το οκτάωρο στην πράξη  ανεξέλεγκτη η βαριά εγκληματικότητα,στα εργασιακά την εγκληματικότητα με αφορμή το ειδεχθές έγκλημα στα γλυκά νερά που έχει συγκλονίσει την κοινή γνώμη το lockdown και τη διαχείριση της,2021,May,12,2,2,1,2,0,1,1,0,2,1
2021-05-12 00:49:00,σκέρτσος πανέτοιμη η ελλάδα για το πράσινο πιστοποιητικό,ο δείκτης θετικότητας είναι κάτω από το 4 κι αν συμπεριληφθούν και τα self tests είναι κάτω κι από το 1 αυτό δήλωσε ο υφυπουργός παρά τω πρωθυπουργώ ακης,2021,May,12,0,0,0,0,0,0,0,0,0,0
2021-05-10 17:50:00,συριζα 9 ψέματα της νδ στο εργασιακό  φέρνουν κατάργηση οκταώρου μειώσεις μισθών,ανακοίνωση εννιά σημείων σχετικά με τα ψέματα της κυβέρνησης όσον αφορά το νομοσχέδιο για τα εργασιακά και συγκεκριμένα την κατάργηση του οκτάωρου και τις,2021,May,10,0,0,0,0,0,0,1,0,1,0
