Title,Summary,Time
Γυναικείες οργανώσεις διαψεύδουν τον πρωθυπουργό ότι συμφώνησαν με το αντεργατικό ν/σ," Σχεδόν 20 οργανώσεις και συλλογικότητες διαψεύδουν τον πρωθυπουργό ότι συμφωνούν με το περιεχόμενο του εργασιακού νομοσχεδίου, τονίζοντας ότι δεν κλήθηκαν σε διαβούλευση και ότι είχαν ζητήσει την απόσυρσή του.","17.06.2021, 08:57"
Ποιο το παλιό και ποιο το νέο, Το νέο που ευαγγελίζεται η αμετανόητη Ν.Δ είναι τουλάχιστον δύο αιώνων. Eίναι η ρεβάνς της Δεξιάς για τις κατακτήσεις της μεταπολίτευσης,"17.06.2021, 08:45"
Επιστροφή στον εργασιακό μεσαίωνα," Με γαλάζιο στυλό υπογράφηκε χθες στη Βουλή η παρωχημένη νεοφιλελεύθερη σελίδα που εισάγει στον εργασιακό χώρο ο νόμος Χατζηδάκη, με τον πρωθυπουργό να μιλά προκλητικά στη Βουλή για «αναγέννηση» και τους...","17.06.2021, 06:00"
«Στα κάγκελα» και οι Ιατροί Εργασίας," Η πρόληψη της βίας και της παρενόχλησης στην εργασία, συμπεριλαμβανομένης της σεξουαλικής παρενόχλησης, αλλά και η ένταξη και επανένταξη ατόμων που υφίστανται διακρίσεις ή είναι θύματα βίας και παρενόχλησης,...","17.06.2021, 06:00"
Βροντερό «όχι» σε... δύο δόσεις," Ξανά στους δρόμους βρέθηκε χθες ο κόσμος της εργασίας, που είπε ακόμη ένα ηχηρό «όχι» στο αντεργατικό νομοσχέδιο Χατζηδάκη.","17.06.2021, 06:00"
"Ταφόπλακα σε οκτάωρο, απεργία και διεκδικήσεις με τη βούλα της Ν.Δ."," Κυβέρνηση και Ν.Δ. έκλεισαν τα αυτιά στις διαμαρτυρίες, επιβεβαιώνοντας ότι, όπως και το έκτρωμα Χατζηδάκη, δεν είναι στην πλευρά των εργαζομένων.","16.06.2021, 22:11"
Κρήτη: Στους δρόμους ενάντια στο νέο εργασιακό νομοσχέδιο, Συγκεντρώσεις και πορείες πραγματοποιήθηκαν από το πρωΐ της Τετάρτης σε όλες τις πόλεις της Κρήτης στο πλαίσιο της 24ωρης απεργίας.,"16.06.2021, 19:24"
Ερωτηματικά από την παρέμβαση του Υπερταμείου για την απεργία στα ΜΜΜ," Το Υπερταμείο δεν επιλέγει να προσφύγει στη Δικαιοσύνη, αλλά μιλά αορίστως για την «ανάγκη» διαλόγου «για τη διασφάλιση του δικαιώματος όλων των πολιτών στη χρήση των δημόσιων μέσων».","16.06.2021, 19:13"
Όλη τη μέρα στους δρόμους οι εργαζόμενοι: Βροντερό «όχι» στο έκτρωμα Χατζηδάκη," Όλη την ημέρα στον δρόμο βρίσκονται οι εργαζόμενοι, αντιδρώντας στο κατάπτυστο νομοσχέδιο του υπουργείου Εργασίας, που ξηλώνει εργασιακά δικαιώματα κατακτημένα με αίμα και αγώνες.","16.06.2021, 18:33"
Βαρουφάκης: «Θα σας πολεμήσουμε σε κάθε γωνιά της χώρας»," Μήνυμα «πολέμου» έστειλε στην κυβέρνηση της Νέας Δημοκρατίας, τον πρωθυπουργό και τον υπουργό Εργασίας, Κωστή Χατζηδάκη, ο γραμματέας του ΜέΡΑ25 Γιάνης Βαρουφάκης, με αφορμή το εργασιακό νομοσχέδιο.","16.06.2021, 18:21"
